Id,ActivityHour,StepTotal,Hora,StepTotal_original,Fecha,Dia,DiaSemana,FinDeSemana,Mes,Hora_sin,Hora_cos,Dia_sin,Dia_cos,promedio_usuario,mediana_usuario,maximo_usuario,horas_observadas,dias_activos,pasos_dia,promedio_hora_dia,horas_registradas_dia
1503960366,2016-03-12 00:00:00,0,0,0.0,2016-03-12,Saturday,5,1,3,0.0,1.0,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 01:00:00,14,1,13.5,2016-03-12,Saturday,5,1,3,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 02:00:00,0,2,0.0,2016-03-12,Saturday,5,1,3,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 03:00:00,0,3,0.0,2016-03-12,Saturday,5,1,3,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 04:00:00,0,4,0.0,2016-03-12,Saturday,5,1,3,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 05:00:00,0,5,0.0,2016-03-12,Saturday,5,1,3,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 06:00:00,0,6,0.0,2016-03-12,Saturday,5,1,3,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 07:00:00,0,7,0.0,2016-03-12,Saturday,5,1,3,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 08:00:00,0,8,0.0,2016-03-12,Saturday,5,1,3,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 09:00:00,8,9,8.0,2016-03-12,Saturday,5,1,3,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 10:00:00,314,10,314.0,2016-03-12,Saturday,5,1,3,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 11:00:00,1144,11,1764.0,2016-03-12,Saturday,5,1,3,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 12:00:00,1144,12,1259.0,2016-03-12,Saturday,5,1,3,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 13:00:00,253,13,253.0,2016-03-12,Saturday,5,1,3,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 14:00:00,1144,14,4470.0,2016-03-12,Saturday,5,1,3,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 15:00:00,392,15,392.0,2016-03-12,Saturday,5,1,3,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
1503960366,2016-03-12 16:00:00,1144,16,1905.0,2016-03-12,Saturday,5,1,3,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,366.70428571428573,198.0,1144,700,31,10103,420.9583333333333,24
